titre,artiste,track_id,album_release_date
Human Sadness,The Voidz,3YB9cvd668HXBEq8rbBW8P,2014-09-23
Warp Drive,The Symposium,1fmKuZ0x8dxCjoP0tUT9TO,2025-07-18
1AM FREESTYLE,Joji,7EAQfy8KYXbx2UqNF4envA,2022-11-04
Yay Yay Ya Nasseeny - Live from Baalbeck 1973,Georget Sayegh,0iLJ7hUnapsQqS3HzDoYRt,1973-01-01
Ana Le Habiby,Fairuz,7cjCNwAwKNjgxfjt1TzK4e,1995-01-01
"Alone, Together",The Strokes,4pXyK9GW7fuT645U0DLYYF,2001-07-30
Doing It Wrong,Drake,4eSGSqP2TZvvX0kadZZttM,2011-11-15
Die For You,The Weeknd,2Ch7LmS7r2Gy2kc64wv3Bz,2016-11-25
RUNITUP (feat. Teezo Touchdown),"Tyler, The Creator",0lXJL0unztXDdIOXu5xCML,2023-03-31
WHARF TALK (feat. A$AP Rocky),"Tyler, The Creator",3u9PAti8muEXXvEjeFpQK0,2023-03-31
Roses,Kanye West,37VEaFy0C5eOPdTIjiRwwh,2005-08-30
How Many Years,Yebba,4u7hPfDnZX5vTO0u5hltt9,2021-09-10
BITTERSUITE,Billie Eilish,7DpUoxGSdlDHfqCYj0otzU,2024-05-17
Digital Love,Daft Punk,2VEZx7NWsZ1D0eJ4uv5Fym,2001-03-12
Alright,Kendrick Lamar,3iVcZ5G6tvkXZkZKlMpIUs,2015-03-16
Hiyeeley,Dur-Dur Band,57IMQ4tIa8BraCzvwlc8jX,2018-09-14
Pendant,Cuco,45iJnPjul5yDYefM6GEYZB,2022-12-09
Flashing Lights,Kanye West,5TRPicyLGbAF2LGBFbHGvO,2007-09-11
Bound 2,Kanye West,3sNVsP50132BTNlImLx70i,2013-06-18
Heartless,Kanye West,4EWCNWgDS8707fNSZ1oaA5,2008-11-24
Lemonade (feat. NAV),Internet Money,1p0rEzrK7YtdRZVtiyV7RN,2020-08-28
E85,Don Toliver,3B4cjvGlPvyBLNG3AzEgkZ,2026-01-30
Gemstone,Don Toliver,6d9Cs2D2RSIl9c0ulgnFe8,2026-01-30
Champagne Poetry,Drake,2HSmyk2qMN8WQjuGhaQgCk,2021-09-03
Star67,Drake,2mmUoyPxzbxehpfm1TpTRK,2015-02-12
"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",Mac Miller,6hzbRKhJHo6cfCHSnNaDS8,2016-09-16
Soulmate,Mac Miller,2puHJmjL4jvO19aEA7kzcb,2016-09-16
ATM,Don Toliver,03auLpFLdCv4HozP4pQseu,2026-01-30
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,5h5tBFnbcVioFXiOixTn6E,2012-10-22
Tuscan Leather,Drake,69gz9onZQNVw55cMQsaYii,2013-01-01
MAFIA,Travis Scott,08F16baYbciTva9P4BvpiI,2021-11-05
Love Yourz,J. Cole,2e3Ea0o24lReQFR4FA7yXH,2014-12-09
Family Business,Kanye West,5DBmXF7QO43Cuy9yqva116,2004-02-10
Less Than Zero,The Weeknd,2D4dV2KXDTszzJ3p3cFqhA,2022-01-06
Pink Matter,Frank Ocean,1fOkmYW3ZFkkjIdOZSf596,2012-07-10
On Sight,Kanye West,1gqkRc9WtOpnGIqxf2Hvzr,2013-06-18
Wesley's Theory,Kendrick Lamar,7Ks4VCY1wFebnOdJrM13t6,2015-03-16
"Sing About Me, I'm Dying Of Thirst",Kendrick Lamar,1Z2FvDFZSDQ23s4BDqpWqZ,2012-10-22
Sanctuary,Joji,0rOLFkjY5DSIViVBNnzOuK,2020-09-25
LOVE YOU LESS,Joji,5bhTUxSNkAZ4H3uFjSJRTY,2026-01-02
The Adults Are Talking,The Strokes,5ruzrDWcT0vuJIOMW7gMnW,2020-04-10
List Of People (To Try And Forget About),Tame Impala,01iiEi9h8CQGUN2K1xBbTj,2017-11-16
Kalimat,Majida El Roumi,1kzNSl6M58cxfr8ac6xvhw,1991-08-24
Foreword (feat. Rex Orange County),"Tyler, The Creator",33i3xxHB4YSYGYbtJrwwO8,2017-07-21
I Ain't Got Time!,"Tyler, The Creator",430qNtapCS3Ue1yoSql1oV,2017-07-21
IGOR'S THEME,"Tyler, The Creator",51RN0kzWd7xeR4th5HsEtW,2019-05-17
ARE WE STILL FRIENDS?,"Tyler, The Creator",5TxRUOsGeWeRl3xOML59Ai,2019-05-17
Voyager,Daft Punk,7cMFjxhbXBpOlais7KMF3j,2001-03-12
Save Your Tears,The Weeknd,5QO79kh1waicV47BqGRL3g,2020-03-20
In Your Eyes,The Weeknd,7szuecWAPwGoV1e5vGu8tl,2020-03-20
Hardest To Love,The Weeknd,6kWxIqQDsKFYCJGbU4AjCX,2020-03-20
Ya Ana Ya Ana,Fairuz,7rZeCLBcluVTGfwamW8osC,1972-01-01
Rajeen Ya Hawa,Fairuz,5ePg7cVMluGk2CAkA2PHKf,2017-02-01
Kan El Zamaan,Fairuz,6tZnlnmXrCvmfZ7X1X143w,1973-01-01
Bektoub Ismak Ya Habibi,Fairuz,061rTXN3Rdlvk0x3GDGtQy,1964-01-01
Ya Tair,Fairuz,0cmy2TM6lNsRFBcaZuss1D,1967-01-01
Hand Me Downs,Mac Miller,2Yv2mHzr5AQavVdwQjEokV,2020-01-17
Come Back to Earth,Mac Miller,01z2fBGB8Hl3Jd3zXe4IXR,2018-08-03
انا لحبيبي,Fairuz,2jloOCzp3ytbjqURJLyEmd,2013-02-09
Kizutsuitemo,Tomoki Hasegawa,38NvUrEdZkUFI41qvo4cja,2006-07-07
黒い涙 - TV Live Edition,ANNA TSUCHIYA inspi' NANA(BLACK STONES),1AnXS6kNg5KXTtDOIy8Cao,2007-02-28
黒い涙,ANNA TSUCHIYA inspi' NANA(BLACK STONES),26crqErNUxxXERxSfWm5Ku,2007-02-28
Saint Pablo,Kanye West,1o0kWPueYo94LIjPYOE5Nf,2016-06-10
HELICOPTER,A$AP Rocky,6zJ68ym0Buv2TpuUu8tw9A,2026-01-16
Fashion Killa,A$AP Rocky,0O3TAouZE4vL9dM5SyxgvH,2013
Far Away (feat. A$AP Rocky),Yebba,14qNHvX8h6HoynFuV0RxWS,2021-09-10
BLUE,Billie Eilish,2prqm9sPLj10B4Wg0wE5x9,2024-05-17
New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,60SvhHtwefT0e2G7i7kOH3,2023-02-24
She's My Collar (feat. Kali Uchis),Gorillaz,3lIxtCaROdRDuTnNBDm3n2,2017-04-28
On Melancholy Hill,Gorillaz,0q6LuUqGLUiCPP1cbdwFs3,2010-03-05
Demons,Joji,77UXyXy6qie0sOtLdEIH4A,2018-02-14
Die For You,Joji,00WLowvlN5cjkYpQV6pjo4,2022-11-04
I Wish you Roses,Kali Uchis,6BQrmjAgPfPTwILoFEK3Hd,2023-01-19
Roses,Kanye West,2DHNCWZYmVr1Lv08q5b0kB,2005-08-30
اديش كان في ناس,Fairuz,7BDco92BzFxjd3BG0mWYhj,2013-05-30
Reflections,The Neighbourhood,2xql0pid3EUwW38AsywxhV,2018-11-02
Ew,Joji,1y9kw88x5zwG9Pyxu3veQ2,2020-09-24
i love you,Billie Eilish,6CcJMwBtXByIz4zQLzFkKc,2019-03-29
THE GREATEST,Billie Eilish,6TGd66r0nlPaYm3KIoI7ET,2024-05-17
TV,Billie Eilish,3GYlZ7tbxLOxe6ewMNVTkw,2022-07-21
Given Up On Me,The Weeknd,3niLgyM9yJTaZMpeXjjSSk,2025-01-30
Faith,The Weeknd,3orEOtd8CPL8GFlpRpKuoE,2020-03-20
Poison,Brent Faiyaz,5NijSs5dAwaIybq1GaRTIe,2016-08-03
Cry For Me,The Weeknd,3AWDeHLc88XogCaCnZQLVI,2025-01-31
Dontmakemefallinlove,Cuco,4Ooq4tmYpe3nZP1BnCtsWM,2018-05-04
I Love Her Again,J. Cole,5pjf75G1zn9EEFa8iaCV5h,2026-02-06
Helwa Ya Baladi,Dalida,6AfnfhQ1eGCnnpOCFFuNgj,1999-01-01
Zina,Raïna Raï,7x55X0JW8JHz7alDVUG5FH,1999-06-29
Lw Kan,El Shab Arab,2ov40EF0gnt0t72ilfoXqV,1993-01-01
Ouda,Hamid Al Shaeri,3x9BHDNsyg50xSEzmLMyUd,1987-12-31
Loser,Tame Impala,3dRRam4ZHVYRefzJA79cns,2025-09-26
눈물이 난다,Lee Sang Gon,43CwQ5fNKJpCp8aWPiE3mJ,2009-03-06
Heseeny,TUL8TE,6AOmVuYPC8WJN0hzZ1ODIj,2025-07-31
Beiny We Beinak - Live,Hoda Haddad,3XyvgKHmrWHV9wxQwbwGSJ,1979-01-01
Kan Inna Tahoun,Fairuz,1nbqpwGdw0TkLFYlAIjOyH,2017-01-21
Ew,Joji,7xcUWyLh6fIMsYjoVI7NnZ,2020-09-25
Glimpse of Us,Joji,4ewazQLXFTDC8XvCbhvtXs,2022-11-04
PIXELATED KISSES (with Yeat) (Remix),Joji,4sl5oBBHlkqcreamWfcj3V,2025-12-03
Fragments (with Don Toliver),Joji,3YklYihQWWUR2UoeupRp6H,2026-02-06
Past Won't Leave My Bed,Joji,3J44gxX4AcRApFyympWPIB,2026-02-06
Sojourn,Joji,3xXJHuTxbSF69tfqg061iT,2026-02-06
Wahdon,Fairuz,0D9yc110AaVMweJLTKVFjJ,1979-01-01
Lost In Yesterday,Tame Impala,5JWPUEov2wlX7c0jhYZpeB,2020-02-14
Why Won't They Talk To Me?,Tame Impala,6IM45SqAURH6PrvziDs1RQ,2012-01-01
Eventually,Tame Impala,5M4yti0QxgqJieUYaEXcpw,2015-07-17
listen before i go,Billie Eilish,0tMSssfxAL2oV8Vri0mFHE,2019-03-29
Kedeish Kan Fe Nas,Fairuz,4ph3TGED6e9ycyTq4LYBn4,2018-09-28
QYURRYUS,The Voidz,6pMRk6Tr05wmZSSINOqzE3,2018-03-30
Posthumous Forgiveness,Tame Impala,1KcOU0q9AMXV9xi4tSzzCc,2020-02-14
